actor,death,season_1,season_2,season_3,season_4,season_5,season_6,season_7
Osha,S06E04,8.0,9.5,8.8,0.0,0.0,3.5,0.0
Hodor,S06E05,3.0,6.0,7.0,7.0,0.0,6.5,0.0
Eddison Tollett,None,0.0,5.0,3.8,5.8,4.2,9.5,1.0
Meera Reed,None,0.0,0.0,8.2,9.2,0.0,9.5,2.2
Oberyn Martell,S04E08,0.0,0.0,0.0,28.5,0.0,0.0,0.0
Jaqen H'ghar,None,0.0,8.0,0.0,0.0,11.2,7.2,0.0
Thoros of Myr,S00E00,0.0,0.0,12.8,0.0,0.0,2.2,11.2
Alliser Thorne,S06E03,6.8,0.0,0.0,9.2,5.8,4.2,0.0
Khal Drogo,S01E10,22.8,2.2,0.0,0.0,0.0,0.0,0.0
Beric Dondarrion,S03E05,0.5,0.0,8.2,0.0,0.0,2.5,13.8
Qyburn,None,0.0,0.0,5.8,2.2,4.2,7.0,5.5
Ellaria Sand,None,0.0,0.0,0.0,6.8,8.8,3.0,5.8
Gregor 'The Mountain' Clegane,None,2.5,1.8,0.0,4.8,0.5,9.2,5.5
Renly Baratheon,S02E05,9.5,14.5,0.0,0.0,0.0,0.0,0.0
Maester Luwin,S02E10,6.8,16.8,0.0,0.0,0.0,0.0,0.0
Ros,S03E06,8.2,10.2,3.2,0.0,0.0,0.0,0.0
Grenn,S04E09,6.2,5.0,3.0,7.0,0.0,0.0,0.0
Mance Rayder,S05E01,0.0,0.0,6.8,7.0,7.2,0.0,0.0
Jeor Mormont,S03E04,10.0,7.0,4.0,0.0,0.0,0.0,0.0
Viserys Targaryen,S01E06,20.5,0.0,0.0,0.0,0.0,0.0,0.0
Maester Aemon,S05E07,5.5,0.0,1.2,6.0,6.2,0.0,0.0
Jojen Reed,S04E10,0.0,0.0,9.8,9.2,0.0,0.0,0.0
Lancel Lannister,S06E10,3.2,6.5,0.0,0.0,4.0,5.2,0.0
Shireen Baratheon,S05E09,0.0,0.0,4.0,2.8,11.5,0.0,0.0
Edmure Tully,None,0.0,0.0,10.5,0.0,0.0,7.2,0.0
Euron Greyjoy,None,0.0,0.0,0.0,0.0,0.0,6.5,10.5
Lysa Arryn,S04E07,6.0,0.0,0.0,10.5,0.0,0.0,0.0
Meryn Trant,S05E10,3.0,2.8,1.2,1.8,7.2,0.0,0.0
Brynden 'Blackfish' Tully,None,0.0,0.0,9.5,0.0,0.0,6.5,0.0
Walder Frey,S06E10,3.0,0.0,7.0,0.0,0.0,5.8,0.0
Hot Pie,None,0.8,5.5,4.5,2.0,0.0,0.0,2.0
Janos Slynt,S05E03,1.0,4.2,0.0,5.2,3.8,0.0,0.0
Locke,S04E05,0.0,0.0,7.0,6.0,0.0,0.0,0.0
Myranda,S05E10,0.0,0.0,3.5,1.5,7.2,0.8,0.0
Rodrik Cassel,S02E06,10.0,2.0,0.0,0.0,0.0,0.8,0.0
The Waif,S06E08,0.0,0.0,0.0,0.0,4.5,8.2,0.0
Benjen Stark,S07E06,6.2,0.0,0.0,0.0,0.0,5.8,0.8
Rast,S04E05,4.2,0.0,4.0,4.5,0.0,0.0,0.0
Rickon Stark,S06E09,1.2,4.2,3.8,0.0,0.0,3.2,0.0
Septa Unella,None,0.0,0.0,0.0,0.0,7.5,5.0,0.0
Olly,S06E03,0.0,0.0,0.0,3.2,7.2,2.0,0.0
Doreah,S02E10,9.5,3.0,0.0,0.0,0.0,0.0,0.0
Balon Greyjoy,S06E02,0.0,6.5,2.5,0.0,0.0,3.2,0.0
Pypar,S04E09,7.0,0.0,0.8,4.2,0.0,0.0,0.0
Yoren,S02E03,6.0,6.0,0.0,0.0,0.0,0.0,0.0
Myrcella Baratheon,S05E10,0.8,1.5,0.0,0.0,8.0,1.5,0.0
Hizdahr zo Loraq,S05E09,0.0,0.0,0.0,2.0,9.8,0.0,0.0
Tyene Sand,S07E03,0.0,0.0,0.0,0.0,7.2,1.2,3.0
Mace Tyrell,S06E10,0.0,0.0,0.0,3.8,3.5,4.2,0.0
Robin Arryn,None,3.8,0.0,0.0,4.8,0.5,2.2,0.0
Selyse Baratheon,S05E10,0.0,0.2,2.0,5.2,3.8,0.0,0.0
Karl Tanner,S04E05,0.0,0.0,0.0,2.5,8.8,0.0,0.0
Xaro Xhoan Daxos,S02E10,0.0,10.5,0.0,0.0,0.0,0.0,0.0
Irri,S02E06,7.0,3.0,0.0,0.0,0.0,0.0,0.0
Lady Crane,S06E08,0.0,0.0,0.0,0.0,0.0,10.0,0.0
